Id,LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
18,72.0,10791,4,1967,1967,0.0,0,0,1296,0,1296,2,0,6,0,1967.0,2,516,0,0,90000
19,66.0,13695,5,2004,2004,0.0,646,1114,1114,0,1114,1,1,6,0,2004.0,2,576,0,102,159000
20,70.0,7560,5,1958,1965,0.0,504,1029,1339,0,1339,1,0,6,0,1958.0,1,294,0,0,139000
21,101.0,14215,8,2005,2006,380.0,0,1158,1158,1218,2376,3,1,9,1,2005.0,3,853,240,154,325300
22,57.0,7449,7,1930,1950,0.0,0,637,1108,0,1108,1,0,6,1,1930.0,1,280,0,0,139400
23,75.0,9742,8,2002,2002,281.0,0,1777,1795,0,1795,2,0,7,1,2002.0,2,534,171,159,230000
24,44.0,4224,5,1976,1976,0.0,840,1040,1060,0,1060,1,0,6,1,1976.0,2,572,100,110,129900
25,70.04995836802665,8246,5,1968,2001,0.0,188,1060,1060,0,1060,1,0,6,1,1968.0,1,270,406,90,154000
26,110.0,14230,8,2007,2007,640.0,0,1566,1600,0,1600,2,0,7,1,2007.0,3,890,0,56,256300
27,60.0,7200,5,1951,2000,0.0,234,900,900,0,900,1,0,5,0,2005.0,2,576,222,32,134800
28,98.0,11478,8,2007,2008,200.0,1218,1704,1704,0,1704,2,0,7,1,2008.0,3,772,0,50,306000
29,47.0,16321,5,1957,1997,0.0,1277,1484,1600,0,1600,1,0,6,2,1957.0,1,319,288,258,207500
30,60.0,6324,4,1927,1950,0.0,0,520,520,0,520,1,0,4,0,1920.0,1,240,49,0,68500
31,50.0,8500,4,1920,1950,0.0,0,649,649,668,1317,1,0,6,0,1920.0,1,250,0,54,40000
32,70.04995836802665,8544,5,1966,2006,0.0,0,1228,1228,0,1228,1,1,6,0,1966.0,1,271,0,65,149350
33,85.0,11049,8,2007,2007,0.0,0,1234,1234,0,1234,2,0,7,0,2007.0,2,484,0,30,179900
34,70.0,10552,5,1959,1959,0.0,1018,1398,1700,0,1700,1,1,6,1,1959.0,2,447,0,38,165500
35,60.0,7313,9,2005,2005,246.0,1153,1561,1561,0,1561,2,0,6,1,2005.0,2,556,203,47,277500
36,108.0,13418,8,2004,2005,132.0,0,1117,1132,1320,2452,3,1,9,1,2004.0,3,691,113,32,309000
37,112.0,10859,5,1994,1995,0.0,0,1097,1097,0,1097,1,1,6,0,1995.0,2,672,392,64,145000
38,74.0,8532,5,1954,1990,650.0,1213,1297,1297,0,1297,1,0,5,1,1954.0,2,498,0,0,153000
39,68.0,7922,5,1953,2007,0.0,731,1057,1057,0,1057,1,0,5,0,1953.0,1,246,0,52,109000
40,65.0,6040,4,1955,1955,0.0,0,0,1152,0,1152,2,0,6,0,1978.5061638868744,0,0,0,0,82000
41,84.0,8658,6,1965,1965,101.0,643,1088,1324,0,1324,2,0,6,1,1965.0,2,440,0,138,160000
42,115.0,16905,5,1959,1959,0.0,967,1350,1328,0,1328,1,1,5,2,1959.0,1,308,0,104,170000
43,70.04995836802665,9180,5,1983,1983,0.0,747,840,884,0,884,1,0,5,0,1983.0,2,504,240,0,144000
44,70.04995836802665,9200,5,1975,1980,0.0,280,938,938,0,938,1,0,5,0,1977.0,1,308,145,0,130250
45,70.0,7945,5,1959,1959,0.0,179,1150,1150,0,1150,1,0,6,0,1959.0,1,300,0,0,141000
46,61.0,7658,9,2005,2005,412.0,456,1752,1752,0,1752,2,0,6,1,2005.0,2,576,196,82,319900
47,48.0,12822,7,2003,2003,0.0,1351,1434,1518,631,2149,1,1,6,1,2003.0,2,670,168,43,239686
48,84.0,11096,8,2006,2006,0.0,24,1656,1656,0,1656,2,0,7,0,2006.0,3,826,0,146,249700
49,33.0,4456,4,1920,2008,0.0,0,736,736,716,1452,2,0,8,0,1978.5061638868744,0,0,0,0,113000
50,66.0,7742,5,1966,1966,0.0,763,955,955,0,955,1,0,6,0,1966.0,1,386,0,0,127000
51,70.04995836802665,13869,6,1997,1997,0.0,182,794,794,676,1470,2,0,6,0,1997.0,2,388,0,75,177000
52,52.0,6240,6,1934,1950,0.0,0,816,816,0,1176,1,0,6,1,1985.0,2,528,112,0,114500
53,110.0,8472,5,1963,1963,0.0,104,816,816,0,816,1,0,5,0,1963.0,2,516,106,0,110000
54,68.0,50271,9,1981,1987,0.0,1810,1842,1842,0,1842,0,1,5,1,1981.0,3,894,857,72,385000
55,60.0,7134,5,1955,1955,0.0,384,384,1360,0,1360,1,0,6,1,1962.0,2,572,0,50,130000
56,100.0,10175,6,1964,1964,272.0,490,1425,1425,0,1425,2,0,7,1,1964.0,2,576,0,0,180500
57,24.0,2645,8,1999,2000,456.0,649,970,983,756,1739,2,1,7,0,1999.0,2,480,115,0,172500
58,89.0,11645,7,2004,2004,0.0,0,860,860,860,1720,2,1,7,0,2004.0,2,565,0,70,196500
59,66.0,13682,10,2006,2006,1031.0,0,1410,1426,1519,2945,3,1,10,1,2006.0,3,641,192,0,438780
60,60.0,7200,5,1972,1972,0.0,632,780,780,0,780,1,0,4,0,1973.0,1,352,196,0,124900
61,63.0,13072,6,2004,2004,0.0,941,1158,1158,0,1158,1,1,5,0,2006.0,2,576,0,50,158000
62,60.0,7200,5,1920,1996,0.0,0,530,581,530,1111,1,0,6,0,1935.0,1,288,0,0,101000
63,44.0,6442,8,2006,2006,178.0,24,1370,1370,0,1370,2,0,6,1,2006.0,2,484,120,49,202500
64,50.0,10300,7,1921,1950,0.0,0,576,902,808,1710,2,0,9,0,1990.0,2,480,12,11,140000
65,70.04995836802665,9375,7,1997,1998,573.0,739,1057,1057,977,2034,2,1,8,0,1998.0,2,645,576,36,219500
66,76.0,9591,8,2004,2005,344.0,0,1143,1143,1330,2473,2,1,9,1,2004.0,3,852,192,151,317000
67,70.04995836802665,19900,7,1970,1989,287.0,912,1947,2207,0,2207,2,0,7,1,1970.0,2,576,301,0,180000
68,72.0,10665,7,2003,2003,167.0,1013,1453,1479,0,1479,2,0,7,0,2003.0,2,558,144,29,226000
69,47.0,4608,4,1945,1950,0.0,0,747,747,0,747,1,0,4,0,1945.0,1,220,0,0,80000
70,81.0,15593,7,1953,1953,0.0,603,1304,1304,983,2287,2,0,7,1,1953.0,2,667,0,21,225000
71,95.0,13651,7,1973,1973,1115.0,1880,2223,2223,0,2223,2,0,8,2,1973.0,2,516,300,0,244000
72,69.0,7599,4,1982,2006,0.0,565,845,845,0,845,1,0,4,0,1987.0,2,360,0,0,129500
73,74.0,10141,7,1998,1998,40.0,0,832,885,833,1718,2,1,7,1,1998.0,2,427,0,94,185000
74,85.0,10200,5,1954,2003,104.0,320,1086,1086,0,1086,1,0,6,0,1989.0,2,490,0,0,144900
75,60.0,5790,3,1915,1950,0.0,0,840,840,765,1605,2,0,8,0,1915.0,1,379,0,0,107400
76,21.0,1596,4,1973,1973,0.0,462,462,526,462,988,1,0,5,0,1973.0,1,297,120,101,91000
77,70.04995836802665,8475,4,1956,1956,0.0,228,952,952,0,952,1,0,4,0,1956.0,1,283,0,0,135750
78,50.0,8635,5,1948,2001,0.0,336,672,1072,213,1285,1,0,6,0,1948.0,1,240,0,0,127000
79,72.0,10778,4,1968,1968,0.0,0,1768,1768,0,1768,2,0,8,0,1978.5061638868744,0,0,0,0,136500
80,60.0,10440,5,1910,1981,0.0,0,440,682,548,1230,1,1,5,0,1966.0,2,440,74,0,110000
81,100.0,13000,6,1968,1968,576.0,448,896,1182,960,2142,2,1,8,1,1968.0,1,509,0,72,193500
82,32.0,4500,6,1998,1998,443.0,1201,1237,1337,0,1337,2,0,5,0,1998.0,2,405,0,199,153500
83,78.0,10206,8,2007,2007,468.0,33,1563,1563,0,1563,2,0,6,1,2007.0,3,758,144,99,245000
84,80.0,8892,5,1960,1960,66.0,0,1065,1065,0,1065,1,1,6,0,1974.0,2,461,74,0,126500
85,70.04995836802665,8530,7,1995,1996,22.0,0,384,804,670,1474,2,1,7,1,1995.0,2,400,120,72,168500
86,121.0,16059,8,1991,1992,284.0,0,1288,1301,1116,2417,2,1,9,1,1991.0,2,462,127,82,260000
87,122.0,11911,6,2005,2005,0.0,0,684,684,876,1560,2,1,6,1,2005.0,2,400,100,38,174000
88,40.0,3951,6,2009,2009,76.0,0,612,612,612,1224,2,1,4,0,2009.0,2,528,0,234,164500
89,105.0,8470,3,1915,1982,0.0,0,1013,1013,0,1526,1,0,6,0,1978.5061638868744,0,0,0,0,85000
90,60.0,8070,4,1994,1995,0.0,588,990,990,0,990,1,0,5,0,1978.5061638868744,0,0,0,0,123600
91,60.0,7200,4,1950,1950,0.0,0,0,1040,0,1040,1,0,4,0,1950.0,2,420,0,29,109900
92,85.0,8500,5,1961,1961,203.0,600,1235,1235,0,1235,1,0,6,0,1961.0,2,480,0,0,98600
93,80.0,13360,5,1921,2006,0.0,713,876,964,0,964,1,0,5,0,1921.0,2,432,0,0,163500
94,60.0,7200,6,1910,1998,0.0,1046,1214,1260,1031,2291,2,0,9,1,1900.0,2,506,0,0,133900
95,69.0,9337,6,1997,1997,0.0,648,824,905,881,1786,2,1,7,0,1997.0,2,684,0,162,204750
96,70.04995836802665,9765,6,1993,1993,68.0,310,680,680,790,1470,2,1,6,1,1993.0,2,420,232,63,185000
97,78.0,10264,7,1999,1999,183.0,1162,1588,1588,0,1588,2,0,6,0,1999.0,2,472,158,29,214000
98,73.0,10921,4,1965,1965,48.0,520,960,960,0,960,1,0,6,0,1965.0,1,432,120,0,94750
99,85.0,10625,5,1920,1950,0.0,108,458,835,0,835,1,0,5,0,1920.0,1,366,0,0,83000
100,77.0,9320,4,1959,1959,0.0,569,950,1225,0,1225,1,1,6,0,1978.5061638868744,0,0,352,0,128950
101,70.04995836802665,10603,6,1977,2001,28.0,1200,1610,1610,0,1610,2,0,6,2,1977.0,2,480,168,68,205000
102,77.0,9206,6,1985,1985,336.0,0,741,977,755,1732,2,1,7,1,1985.0,2,476,192,46,178000
103,64.0,7018,5,1979,1979,0.0,0,0,1535,0,1535,2,0,8,0,1979.0,2,410,0,0,118964
104,94.0,10402,7,2009,2009,0.0,0,1226,1226,0,1226,2,0,6,0,2009.0,3,740,0,36,198900
105,70.04995836802665,7758,7,1931,1950,600.0,224,1040,1226,592,1818,1,1,7,2,1951.0,1,240,0,0,169500
106,75.0,9375,8,2003,2004,768.0,0,1053,1053,939,1992,2,1,9,1,2003.0,2,648,140,45,250000
107,60.0,10800,4,1885,1995,0.0,0,641,1047,0,1047,1,0,6,0,1954.0,1,273,0,0,100000
108,50.0,6000,5,1948,1950,0.0,104,789,789,0,789,1,0,5,0,1948.0,1,250,0,0,115000
109,85.0,8500,5,1919,2005,0.0,0,793,997,520,1517,2,0,7,0,1978.5061638868744,0,0,0,0,115000
110,105.0,11751,6,1977,1977,480.0,705,1844,1844,0,1844,2,0,7,1,1977.0,2,546,0,122,190000
111,75.0,9525,6,1954,1972,0.0,444,994,1216,639,1855,2,0,7,0,1954.0,1,325,182,0,136900
112,70.04995836802665,7750,7,2000,2000,0.0,250,384,774,656,1430,2,1,7,1,2000.0,2,400,180,0,180000
113,77.0,9965,7,2007,2007,220.0,984,1264,1282,1414,2696,2,1,10,1,2007.0,3,792,120,184,383970
114,70.04995836802665,21000,6,1953,1953,184.0,35,1809,2259,0,2259,2,0,7,2,1953.0,2,450,166,120,217000
115,61.0,7259,6,1945,2002,0.0,774,1028,1436,884,2320,2,1,9,1,1945.0,1,180,224,0,259500
116,34.0,3230,6,1999,1999,1129.0,419,729,729,729,1458,2,1,5,1,1999.0,2,440,0,32,176000
117,70.04995836802665,11616,5,1962,1962,116.0,170,1092,1092,0,1092,1,0,6,1,1962.0,1,288,0,20,139000
118,74.0,8536,5,2006,2007,0.0,0,1125,1125,0,1125,1,1,5,0,2007.0,2,430,80,64,155000
119,90.0,12376,7,1990,1990,0.0,1470,1673,1699,1523,3222,3,0,11,2,1990.0,3,594,367,0,320000
120,65.0,8461,6,2005,2006,0.0,0,728,728,728,1456,2,1,8,1,2005.0,2,390,0,24,163990
121,70.04995836802665,21453,6,1969,1969,0.0,938,938,988,0,988,1,0,4,2,1969.0,2,540,0,130,180000
122,50.0,6060,4,1939,1950,0.0,0,732,772,351,1123,1,0,4,0,1979.0,1,264,0,0,100000
123,75.0,9464,6,1958,1958,135.0,570,1080,1080,0,1080,1,0,5,0,1958.0,1,288,0,0,136000
124,55.0,7892,6,1993,1993,0.0,300,1199,1199,0,1199,2,0,5,0,1993.0,2,530,0,63,153900
125,48.0,17043,6,1979,1998,0.0,0,1362,1586,0,1586,2,0,7,1,1979.0,2,435,192,0,181000
126,60.0,6780,6,1935,1982,0.0,490,520,520,0,754,1,0,5,0,1978.5061638868744,0,0,53,0,84500
127,70.04995836802665,4928,6,1976,1976,0.0,120,1078,958,0,958,2,0,5,1,1977.0,2,440,0,205,128000
128,55.0,4388,5,1930,1950,0.0,116,672,840,0,840,1,0,5,1,1978.5061638868744,0,0,0,0,87000
129,69.0,7590,6,1966,1966,266.0,512,660,660,688,1348,1,1,6,1,1966.0,2,453,188,108,155000
130,69.0,8973,5,1958,1991,85.0,567,1008,1053,0,1053,1,1,6,0,1998.0,2,750,0,80,150000
131,88.0,14200,7,1966,1966,309.0,445,924,1216,941,2157,2,1,8,2,1966.0,2,487,105,66,226000
132,70.04995836802665,12224,6,2000,2000,40.0,695,992,1022,1032,2054,2,1,7,1,2000.0,2,390,24,48,244000
133,75.0,7388,5,1959,2002,0.0,405,1063,1327,0,1327,1,0,7,0,1974.0,2,624,0,0,150750
134,70.04995836802665,6853,8,2001,2002,136.0,1005,1267,1296,0,1296,2,0,6,0,2001.0,2,471,192,25,220000
135,78.0,10335,5,1968,1993,0.0,570,1461,1721,0,1721,2,1,7,1,1968.0,2,440,0,96,180000
136,80.0,10400,7,1970,1970,288.0,0,1304,1682,0,1682,2,0,7,1,1970.0,2,530,98,0,174000
137,70.04995836802665,10355,5,1967,1967,196.0,695,1214,1214,0,1214,2,0,5,1,1967.0,1,318,0,111,143000
138,82.0,11070,7,1988,1989,70.0,0,1907,1959,0,1959,3,0,9,0,1989.0,3,766,0,0,171000
139,73.0,9066,8,1999,2000,320.0,668,1004,1004,848,1852,2,1,7,2,1999.0,3,660,224,106,230000
140,65.0,15426,6,1997,1997,0.0,821,928,928,836,1764,2,1,7,0,1997.0,2,470,276,99,231500
141,70.0,10500,4,1971,1971,0.0,432,864,864,0,864,1,0,5,1,1978.5061638868744,0,0,0,0,115000
142,78.0,11645,7,2005,2005,0.0,1300,1734,1734,0,1734,2,0,7,0,2005.0,2,660,160,24,260000
143,71.0,8520,5,1952,1952,0.0,507,910,910,475,1385,2,0,6,0,2000.0,2,720,0,0,166000
144,78.0,10335,7,1999,1999,183.0,679,1490,1501,0,1501,2,0,6,0,1999.0,2,577,144,29,204000
145,70.0,9100,5,1963,1963,336.0,1332,1728,1728,0,1728,2,0,10,0,1963.0,2,504,0,0,125000
146,24.0,2522,6,2004,2006,50.0,0,970,970,739,1709,2,0,7,0,2004.0,2,380,0,40,130000
147,51.0,6120,5,1931,1993,0.0,209,715,875,0,875,1,0,5,0,1931.0,1,180,48,0,105000
148,70.04995836802665,9505,7,2001,2001,180.0,0,884,884,1151,2035,2,1,8,1,2001.0,2,434,144,48,222500
149,63.0,7500,7,2004,2005,120.0,680,1080,1080,0,1080,1,0,6,0,1978.5061638868744,0,0,0,0,141000
150,70.04995836802665,6240,5,1936,1950,0.0,0,896,896,448,1344,1,0,7,0,1936.0,1,240,200,114,115000
151,120.0,10356,5,1975,1975,0.0,716,969,969,0,969,1,1,5,0,1975.0,2,440,0,0,122000
152,107.0,13891,8,2007,2008,436.0,1400,1710,1710,0,1710,2,0,6,1,2007.0,3,866,0,102,372402
153,70.04995836802665,14803,6,1971,1971,252.0,416,825,1097,896,1993,2,1,8,1,1971.0,2,495,0,66,190000
154,70.04995836802665,13500,6,1960,1975,0.0,429,1602,1252,0,1252,1,0,4,1,1960.0,2,564,409,0,235000
155,84.0,11340,6,1923,1950,0.0,0,1200,1200,0,1200,1,0,7,0,1923.0,1,312,0,0,125000
156,60.0,9600,6,1924,1950,0.0,0,572,572,524,1096,1,0,5,0,1978.5061638868744,0,0,0,8,79000
157,60.0,7200,5,1950,1950,0.0,0,0,1040,0,1040,1,0,5,0,1950.0,2,625,0,0,109500
158,92.0,12003,8,2009,2010,84.0,0,774,774,1194,1968,2,1,8,1,2009.0,3,680,0,75,269500
159,100.0,12552,7,2004,2005,0.0,222,991,991,956,1947,2,1,8,1,2004.0,2,678,0,136,254900
160,134.0,19378,7,2005,2006,456.0,57,1392,1392,1070,2462,2,1,9,1,2006.0,2,576,239,132,320000
161,70.04995836802665,11120,6,1984,1984,0.0,660,1232,1232,0,1232,2,0,6,0,1984.0,2,516,0,0,162500
162,110.0,13688,9,2003,2004,664.0,1016,1572,1572,1096,2668,2,1,10,2,2003.0,3,726,400,0,412500
163,95.0,12182,7,2005,2005,226.0,1201,1541,1541,0,1541,2,0,7,1,2005.0,2,532,0,70,220000
164,55.0,5500,4,1956,1956,0.0,0,882,882,0,882,1,0,4,0,1978.5061638868744,0,0,0,0,103200
165,40.0,5400,6,1926,2004,0.0,370,1149,1149,467,1616,2,0,5,0,1926.0,1,216,0,0,152000
166,62.0,10106,5,1940,1999,0.0,351,644,808,547,1355,2,0,6,0,1978.5061638868744,0,0,140,0,127500
167,70.04995836802665,10708,5,1955,1993,0.0,379,1617,1867,0,1867,1,0,7,3,1955.0,1,303,476,0,190000
168,86.0,10562,8,2007,2007,300.0,1288,1582,1610,551,2161,1,1,8,1,2007.0,3,789,178,120,325624
169,62.0,8244,7,2004,2004,0.0,0,840,840,880,1720,2,1,7,1,2004.0,2,440,100,48,183500
170,70.04995836802665,16669,8,1981,1981,653.0,0,1686,1707,0,1707,2,1,6,1,1981.0,2,511,574,64,228000
171,70.04995836802665,12358,5,1941,1950,0.0,360,720,854,0,1382,1,1,7,0,1991.0,2,660,237,0,128500
172,141.0,31770,6,1960,1960,112.0,639,1080,1656,0,1656,1,0,7,2,1960.0,2,528,210,62,215000
173,44.0,5306,7,1987,1987,0.0,495,1064,1064,703,1767,2,0,5,1,1987.0,2,504,441,35,239000
174,80.0,10197,6,1961,1961,491.0,288,1362,1362,0,1362,1,1,6,1,1961.0,2,504,0,20,163000
175,47.0,12416,6,1986,1986,132.0,1398,1606,1651,0,1651,2,0,7,1,1986.0,2,616,192,0,184000
176,84.0,12615,6,1950,2001,0.0,477,1202,2158,0,2158,2,0,7,1,1950.0,2,576,0,29,243000
177,97.0,10029,6,1988,1989,268.0,831,1151,1164,896,2060,2,1,8,1,1988.0,2,521,0,228,211000
178,70.04995836802665,13650,5,1958,1958,0.0,57,1052,1252,668,1920,2,0,8,1,1958.0,2,451,0,0,172500
179,63.0,17423,9,2008,2009,748.0,1904,2216,2234,0,2234,2,0,9,1,2009.0,3,1166,0,60,501837
180,60.0,8520,5,1923,2006,0.0,0,968,968,0,968,1,0,5,0,1935.0,2,480,0,0,100000
181,70.04995836802665,2117,6,2000,2000,456.0,436,756,769,756,1525,2,1,5,1,2000.0,2,440,0,0,177000
182,54.0,7588,7,1920,1950,0.0,352,793,901,901,1802,1,1,9,1,1920.0,1,216,0,0,200100
183,60.0,9060,5,1957,2006,98.0,0,0,1340,0,1340,1,0,7,1,1957.0,1,252,116,0,120000
184,63.0,11426,7,2003,2003,0.0,0,1362,1362,720,2082,2,1,6,0,2003.0,2,484,280,238,200000
185,92.0,7438,5,1908,1991,0.0,0,504,936,316,1252,1,0,5,0,1986.0,2,576,104,0,127000
186,90.0,22950,10,1892,1993,0.0,0,1107,1518,1518,3608,2,1,12,2,1993.0,3,840,0,260,475000
187,70.04995836802665,9947,7,1990,1991,0.0,611,1188,1217,0,1217,2,0,6,0,1990.0,2,497,168,27,173000
188,60.0,10410,5,1916,1987,0.0,0,660,808,704,1656,2,1,8,0,1916.0,1,180,0,0,135000
189,64.0,7018,5,1979,1979,275.0,1086,1086,1224,0,1224,0,2,6,2,1979.0,2,528,120,0,153337
190,41.0,4923,8,2001,2002,0.0,1153,1593,1593,0,1593,1,1,5,1,2001.0,2,682,0,120,286000
191,70.0,10570,8,1932,1994,0.0,297,853,1549,1178,2727,2,1,10,2,1932.0,2,440,0,74,315000
192,70.04995836802665,7472,7,1972,2004,138.0,626,725,725,754,1479,1,1,7,0,1972.0,2,484,0,32,184000
193,68.0,9017,7,1999,1999,0.0,560,1431,1431,0,1431,2,0,6,0,1999.0,2,666,0,35,192000
194,24.0,2522,7,2004,2004,50.0,0,970,970,739,1709,2,0,7,0,2004.0,2,380,0,40,130000
195,60.0,7180,5,1972,1972,0.0,390,864,864,0,864,1,0,5,0,1989.0,1,352,0,0,127000
196,24.0,2280,6,1976,1976,0.0,566,855,855,601,1456,2,1,7,1,1976.0,2,440,87,0,148500
197,79.0,9416,7,2007,2007,205.0,1126,1726,1726,0,1726,2,0,8,1,2007.0,3,786,171,138,311872
198,174.0,25419,8,1918,1990,0.0,1036,1360,1360,1360,3112,2,0,8,1,1918.0,2,795,0,16,235000
199,92.0,5520,6,1912,1950,0.0,0,755,929,929,2229,1,0,8,0,1978.5061638868744,0,0,0,198,104000
200,76.0,9591,8,2004,2005,262.0,1088,1713,1713,0,1713,2,0,7,1,2004.0,3,856,0,26,274900
201,80.0,8546,4,2003,2004,0.0,0,1121,1121,0,1121,2,0,5,0,2003.0,2,440,132,64,140000
202,75.0,10125,6,1977,1977,0.0,641,1196,1279,0,1279,2,0,6,2,1980.0,2,473,238,83,171500
203,50.0,7000,6,1924,1950,0.0,617,617,865,445,1310,2,0,6,0,1924.0,1,398,0,0,112000
204,70.04995836802665,4438,6,2004,2004,205.0,662,848,848,0,848,1,0,3,1,2004.0,2,420,149,0,149000
205,50.0,3500,5,1947,1950,0.0,312,720,720,564,1284,1,1,5,0,1948.0,1,240,0,35,110000
206,99.0,11851,7,1990,1990,0.0,0,1424,1442,0,1442,2,0,5,0,1990.0,2,500,0,34,180500
207,40.0,13673,5,1962,1962,0.0,0,1140,1696,0,1696,1,1,8,1,1962.0,1,349,0,30,143900
208,70.04995836802665,12493,4,1960,1960,0.0,419,1100,1100,0,1100,1,0,6,1,1960.0,1,312,355,0,141000
209,70.04995836802665,14364,7,1988,1989,128.0,1065,1157,1180,882,2062,2,1,7,1,1988.0,2,454,60,55,277000
210,75.0,8250,6,1964,1964,260.0,787,1092,1092,0,1092,1,0,6,0,1964.0,2,504,0,0,145000
211,67.0,5604,5,1925,1950,0.0,468,864,864,0,864,1,0,5,0,1978.5061638868744,0,0,0,0,98000
212,83.0,10420,6,2009,2009,0.0,36,1212,1212,0,1212,2,0,6,0,2009.0,2,460,100,22,186000
213,72.0,8640,7,2009,2009,0.0,822,900,932,920,1852,2,1,7,1,2009.0,2,644,168,108,252678
214,43.0,13568,5,1995,1995,0.0,716,990,990,0,990,1,0,5,0,1996.0,2,576,224,0,156000
215,70.04995836802665,10900,6,1977,1977,153.0,378,689,689,703,1392,1,1,6,0,1977.0,1,299,0,36,161750
216,72.0,10011,5,1957,1996,64.0,360,1070,1236,0,1236,1,0,6,1,1957.0,1,447,0,0,134450
217,65.0,8450,7,2004,2004,266.0,946,1436,1436,0,1436,2,0,8,0,2004.0,2,484,139,98,210000
218,57.0,9906,4,1925,1950,0.0,0,686,810,518,1328,1,0,8,0,1940.0,1,210,0,172,107000
219,70.04995836802665,15660,7,1939,2006,312.0,341,798,1137,817,1954,1,1,8,2,1939.0,2,431,0,119,311500
220,43.0,3010,7,2005,2006,16.0,16,1248,1248,0,1248,2,0,5,0,2005.0,2,438,108,0,167240
221,73.0,8990,7,2006,2006,0.0,0,1498,1498,0,1498,2,0,5,0,2006.0,2,675,351,33,204900
222,70.04995836802665,8068,6,2002,2002,0.0,0,1010,1010,1257,2267,2,1,8,1,2002.0,2,390,120,46,200000
223,85.0,11475,6,1975,1975,0.0,550,713,811,741,1552,2,1,6,1,1975.0,2,434,209,208,179900
224,70.0,10500,4,1971,1971,0.0,524,864,864,0,864,1,0,4,0,1989.0,2,576,216,0,97000
225,103.0,13472,10,2003,2003,922.0,56,2392,2392,0,2392,2,0,8,1,2003.0,3,968,248,105,386250
226,21.0,1680,5,1971,1971,142.0,0,630,630,672,1302,2,1,6,0,1991.0,1,280,0,0,112000
227,82.0,9950,7,1995,1995,290.0,565,1203,1214,1306,2520,2,1,9,1,1995.0,3,721,224,114,290000
228,21.0,1869,6,1970,1970,127.0,321,483,483,504,987,1,1,5,0,1987.0,1,280,0,0,106000
229,70.0,8521,5,1967,1967,0.0,842,912,912,0,912,1,0,5,1,1974.0,1,336,0,0,125000
230,43.0,3182,7,2005,2006,16.0,16,1373,1555,0,1555,2,0,7,1,2005.0,2,430,143,20,192500
231,73.0,8760,6,1959,1959,220.0,0,1194,1194,0,1194,1,0,6,0,1959.0,1,312,0,0,148000
232,174.0,15138,8,1995,1996,506.0,689,1462,1490,1304,2794,2,1,9,1,1995.0,3,810,0,146,403000
233,21.0,1680,6,1972,1972,297.0,0,483,483,504,987,1,1,5,1,1972.0,1,288,0,0,94500
234,75.0,10650,5,1976,1976,0.0,182,894,894,0,894,1,0,5,0,1976.0,1,308,365,0,128200
